TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
129591783245;1141926;"MAF";"INTERVAL";"PROBE";1;63;0x00002ab7;0;92209265;32232758;13451061;8916235;614886;16840;0;CPUTHEFT
129591783626;114;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;2486;640;578;415;30;9;0;CPUTHEFT
129591783749;239;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;8056;2374;1317;1012;75;0;0;CPUTHEFT
129591783994;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002ab7;0;3021;702;481;526;62;2;0;CPUTHEFT
129591784067;321;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002ab7;0;21133;7612;2056;1632;132;15;0;CPUTHEFT
129591784396;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002ab7;0;1100;256;226;191;16;3;0;CPUTHEFT
129591784445;53360;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4298611;1506185;628014;414495;29785;959;0;CPUTHEFT
129591837812;53325;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4307349;1508271;629190;416000;28746;788;0;CPUTHEFT
129591891146;53759;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4345429;1516725;634258;424081;29612;943;0;CPUTHEFT
129591944913;53138;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4295399;1505499;627619;413848;29343;808;0;CPUTHEFT
129591998058;53311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4311114;1509117;629707;416757;28596;785;0;CPUTHEFT
129592051376;53300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4310730;1509018;629647;416687;28568;859;0;CPUTHEFT
129592104683;53089;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4295481;1505503;627619;413859;28307;823;0;CPUTHEFT
129592157779;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4314977;1509973;630212;417570;28642;886;0;CPUTHEFT
129592211177;53301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4310930;1509072;629684;416733;28573;865;0;CPUTHEFT
129592264493;53085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4295403;1505489;627621;413847;28256;819;0;CPUTHEFT
129592317585;53233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4307550;1508333;629254;416040;28443;814;0;CPUTHEFT
129592370825;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4307611;1508355;629255;416059;28460;839;0;CPUTHEFT
129592424090;53092;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4295402;1505488;627615;413847;28297;811;0;CPUTHEFT
129592477189;53233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4307517;1508331;629251;416040;28382;854;0;CPUTHEFT
129592530429;53487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4314814;1510070;630200;417356;30189;860;0;CPUTHEFT
129592583923;53085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4295413;1505498;627619;413852;28235;839;0;CPUTHEFT
129592637015;53237;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4307561;1508340;629253;416046;28388;796;0;CPUTHEFT
129592690259;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4307540;1508343;629249;416043;28433;810;0;CPUTHEFT
129592743512;53085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4295421;1505491;627615;413847;28278;800;0;CPUTHEFT
129592796604;53237;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;4307541;1508345;629254;416042;28385;806;0;CPUTHEFT
129592849853;75307;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002ab7;0;6000555;2050700;857441;586072;40193;47;0;CPUTHEFT
129593383160;1143689;"MAF";"INTERVAL";"PROBE";1;63;0x00002ab7;1;92376698;32294031;13473635;8929393;610516;15797;0;CPUTHEFT
129593383177;120;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;2487;640;578;414;34;6;0;CPUTHEFT
129593383306;201;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;8056;2374;1318;1012;83;3;0;CPUTHEFT
129593383514;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002ab7;1;1172;271;246;180;9;8;0;CPUTHEFT
129593383550;306;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002ab7;1;21137;7612;2055;1632;136;15;0;CPUTHEFT
129593383864;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002ab7;1;1097;256;226;191;13;3;0;CPUTHEFT
129593383914;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4301700;1506734;628294;415080;28670;779;0;CPUTHEFT
129593437191;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4307026;1508141;629079;416021;28582;815;0;CPUTHEFT
129593490444;53155;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4299649;1506435;628077;414606;28367;757;0;CPUTHEFT
129593543606;53090;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4295556;1505467;627557;413914;28321;676;0;CPUTHEFT
129593596703;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4306660;1508057;629006;415984;28377;813;0;CPUTHEFT
129593649930;53235;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4307424;1508229;629125;416107;28434;844;0;CPUTHEFT
129593703172;53075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4295022;1505354;627506;413826;28237;793;0;CPUTHEFT
129593756254;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4307058;1508157;629070;416059;28363;790;0;CPUTHEFT
129593809479;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4307528;1508245;629119;416127;28449;779;0;CPUTHEFT
129593862724;53075;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4294950;1505337;627496;413811;28251;742;0;CPUTHEFT
129593915806;53223;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4307126;1508158;629073;416068;28389;790;0;CPUTHEFT
129593969036;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002ab7;1;4306633;1508058;629014;415973;28388;818;0;CPUTHEFT
